epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.669,0,109.47,0,0,0,0,0,0,193.894,0,0.00029967,0.00029967,0.00029967
2,529.038,0,86.5659,0,0,0,0,0,0,155.171,0,0.000596704,0.000596704,0.000596704
3,774.748,0,66.0244,0,0,0,0,0,0,120.206,0,0.000887738,0.000887738,0.000887738
4,1046.58,0,45.6702,0,0,0,0,0,0,80.5095,0,0.000882003,0.000882003,0.000882003
5,1297.46,0,29.4336,0,0,0,0,0,0,49.8815,0,0.000873004,0.000873004,0.000873004
6,1545.75,0,17.6513,0,0,0,0,0,0,26.5532,0,0.000864004,0.000864004,0.000864004
7,1792.62,0,9.72044,0,0,0,0,0,0,14.8082,0,0.000855005,0.000855005,0.000855005
8,2039.83,0,5.19981,0,0,0,0,0,0,6.90597,0,0.000846006,0.000846006,0.000846006
9,2282.61,0,2.69578,0,0,0,0,0,0,3.7791,0,0.000837007,0.000837007,0.000837007
10,2525.55,0,1.29467,0,0,0,0,0,0,2.0133,0,0.000828008,0.000828008,0.000828008
11,2769.23,0,0.62762,0,0,0,0,0,0,0.65631,0,0.000819009,0.000819009,0.000819009
12,3012.25,0,0.18078,0,0,0,0,0,0,0.26097,0,0.00081001,0.00081001,0.00081001
13,3255.75,0,0.0723,0,0,0,0,0,0,0.04562,0,0.000801011,0.000801011,0.000801011
14,3499.12,0,0.02095,0,0,0,0,0,0,0.04066,0,0.000792012,0.000792012,0.000792012
15,3742.32,0,0.01047,0,0,0,0,0,0,0.00234,0,0.000783013,0.000783013,0.000783013
16,3985.75,0,0.00043,0,0,0,0,0,0,3e-05,0,0.000774013,0.000774013,0.000774013
17,4228.44,0,0,0,0,0,0,0,0,0,0,0.000765014,0.000765014,0.000765014
18,4471.33,0,0,0,0,0,0,0,0,0,0,0.000756015,0.000756015,0.000756015
19,4714.44,0,0,0,0,0,0,0,0,0,0,0.000747016,0.000747016,0.000747016
20,4957.29,0,0,0,0,0,0,0,0,1e-05,0,0.000738017,0.000738017,0.000738017
21,5200.59,0,0,0,0,0,0,0,0,2e-05,0,0.000729018,0.000729018,0.000729018
22,5445.31,0,0,0,0,0,0,0,0,0,0,0.000720019,0.000720019,0.000720019
23,5689.23,0,0,0,0,0,0,0,0,1e-05,0,0.00071102,0.00071102,0.00071102
24,5932.96,0,0,0,0,0,0,0,0,2e-05,0,0.000702021,0.000702021,0.000702021
